[96545, 424, 52, 14, 1, 0, 1]
[80648, 127, 1535, 6, 1, 0, 1]
[23290, 1760, 940, 6, 1, 1, 1]
[105736, 1833, 733, 14, 1, 0, 1]
[60166, 622, 1006, 4, 1, 0, 1]
[69455, 865, 812, 14, 1, 0, 1]
[80467, 1083, 222, 6, 1, 0, 1]
[12205, 1631, 619, 4, 1, 0, 1]
[79453, 264, 931, 10, 1, 0, 1]
[55352, 532, 557, 4, 1, 0, 1]
[14580, 390, 843, 4, 1, 0, 1]
[64009, 966, 424, 14, 1, 0, 1]
[92134, 777, 932, 8, 1, 0, 1]
[55030, 777, 1977, 10, 1, 0, 1]
[66445, 759, 1457, 4, 1, 0, 1]
[16221, 478, 1369, 16, 1, 0, 1]
[53782, 263, 1011, 16, 1, 0, 1]
[105359, 515, 490, 10, 1, 0, 1]
[108218, 876, 193, 10, 1, 0, 1]
[85200, 624, 55, 12, 1, 1, 1]
[79605, 1179, 264, 14, 1, 0, 1]
[43267, 1009, 372, 8, 1, 0, 1]
[11876, 1515, 1233, 10, 1, 0, 1]
[47243, 1576, 1233, 12, 1, 0, 1]
[25659, 1784, 246, 4, 1, 0, 1]
[101836, 1320, 624, 12, 1, 0, 1]
[104312, 931, 820, 8, 1, 0, 1]
[55270, 1500, 477, 12, 1, 1, 1]
[49007, 1966, 490, 4, 1, 0, 1]
[70213, 1706, 1631, 16, 1, 0, 1]
[12926, 264, 1594, 14, 1, 0, 1]
[50745, 483, 260, 4, 1, 0, 1]
[62995, 1457, 362, 14, 1, 0, 1]
[30546, 982, 65, 10, 1, 1, 1]
[28232, 1846, 1412, 14, 1, 0, 1]
[109424, 216, 624, 8, 1, 1, 1]
[20331, 1594, 264, 16, 1, 0, 1]
[23092, 1025, 733, 16, 1, 1, 1]
[62829, 635, 127, 6, 1, 0, 1]
[40263, 1386, 1422, 10, 1, 1, 1]
[91377, 214, 757, 12, 1, 0, 1]
[35447, 1603, 127, 16, 1, 0, 1]
[27258, 1009, 372, 4, 1, 0, 1]
[31949, 1603, 733, 10, 1, 0, 1]
[42514, 372, 543, 14, 1, 0, 1]
[67787, 167, 757, 16, 1, 0, 1]
[21688, 1483, 1784, 4, 1, 0, 1]
[71005, 1422, 1760, 6, 1, 0, 1]
[76900, 1827, 532, 12, 1, 0, 1]
[63318, 751, 260, 8, 1, 0, 1]
[78983, 532, 557, 16, 1, 0, 1]
[28428, 831, 65, 16, 1, 0, 1]
[12208, 827, 1431, 12, 1, 0, 1]
[17540, 966, 532, 8, 1, 0, 1]
[22180, 1003, 744, 14, 1, 0, 1]
[100323, 201, 759, 4, 1, 0, 1]
[61190, 667, 532, 6, 1, 0, 1]
[61280, 1594, 1457, 16, 1, 0, 1]
[99261, 1784, 932, 6, 1, 0, 1]
[50127, 826, 546, 4, 1, 0, 1]
[48171, 1706, 418, 16, 1, 0, 1]
[109981, 1104, 695, 14, 1, 0, 1]
[67496, 1193, 149, 16, 1, 0, 1]
[98513, 1807, 260, 4, 1, 0, 1]
[37968, 1821, 1233, 8, 1, 0, 1]
[43530, 558, 565, 12, 1, 0, 1]
[104309, 125, 127, 14, 1, 0, 1]
[43953, 773, 1209, 4, 1, 1, 1]
[92274, 794, 820, 16, 1, 0, 1]
[102186, 1209, 759, 8, 1, 0, 1]
[17191, 6, 1983, 4, 1, 0, 1]
[82006, 193, 1025, 4, 1, 0, 1]
[16555, 1233, 512, 4, 1, 0, 1]
